單字,字頻,拆字1,code1
逐,14135.0,卜一尸人,ymso
償,14134.0,人火月金,ofbc
層,14133.0,尸金田日,scwa
呈,14113.0,口竹土,rhg
種,14094.0,竹木竹十土,hdhjg
著,14074.0,廿十大日,tjka
屏,14073.0,尸廿廿,stt
富,14066.0,十一口田,jmrw
科,14026.0,竹木卜十,hdyj
票,14013.0,一田一一火,mwmmf
名,14007.0,弓戈口,nir
缺,13978.0,人山木大,oudk
好,13948.0,女弓木,vnd
歸,13938.0,竹一尸一月,hmsmb
溫,13883.0,水田人廿,ewot
態,13867.0,戈心心,ipp
弱,13838.0,弓一弓戈一,nmnim
獲,13820.0,大竹廿人水,khtoe
八,13786.0,竹人,ho
千,13786.0,竹十,hj
族,13772.0,卜尸人人大,ysook
連,13736.0,卜十田十,yjwj
望,13729.0,卜月竹土,ybhg
見,13681.0,月山竹山,buhu
防,13668.0,弓中卜竹尸,nlyhs
恐,13620.0,一弓心,mnp
尚,13604.0,火月口,fbr
許,13604.0,卜口人十,yroj
言,13553.0,卜一一口,ymmr
私,13533.0,竹木戈,hdi
活,13456.0,水竹十口,ehjr
車,13438.0,十田十,jwj
困,13381.0,田木,wd
域,13379.0,土戈口一,girm
廠,13327.0,戈火月大,ifbk
技,13313.0,手十水,qje
陳,13308.0,弓中木田,nldw
注,13303.0,水卜土,eyg
走,13282.0,土卜人,gyo
天,13230.0,一大,mk
雖,13180.0,口戈人土,riog
打,13146.0,手一弓,qmn
漸,13124.0,水十十中,ejjl
才,13121.0,木竹,dh
沒,13101.0,水弓水,ene
狀,13078.0,女一戈大,vmik
雙,13005.0,人土水,oge
周,12966.0,月土口,bgr
復,12845.0,竹人人日水,hooae
緊,12842.0,尸水女戈火,sevif
花,12808.0,廿人心,top
輕,12787.0,十十一女一,jjmvm
異,12763.0,田廿金,wtc
爭,12752.0,月尸木,bsd
舊,12740.0,廿人土難,togx
臨,12675.0,尸中人口口,slorr
待,12428.0,竹人土木戈,hogdi
始,12366.0,女戈口,vir
視,12276.0,戈火月山山,ifbuu
越,12271.0,土人戈女,goiv
般,12271.0,竹卜竹弓水,hyhne
英,12120.0,廿中月大,tlbk
很,12099.0,竹人日女,hoav
清,12089.0,水手一月,eqmb
留,12076.0,竹竹田,hhw
界,11983.0,田人中中,woll
道,11931.0,卜廿竹山,ythu
字,11520.0,十弓木,jnd
遠,11510.0,卜土口女,ygrv
熱,11420.0,土戈火,gif
手,11250.0,手,q
傳,10878.0,人十戈戈,ojii
廣,10772.0,戈廿中金,itlc
西,10612.0,一金田,mcw
山,10571.0,山,u
書,10476.0,中土日,lga
頭,9481.0,一廿一月金,mtmbc
世,9445.0,心廿,pt
身,9304.0,竹難竹,hxh
知,9158.0,人大口,okr
惰,8292.0,心大一月,pkmb
喀,8292.0,口十竹口,rjhr
萍,8292.0,廿水一十,temj
淮,8292.0,水人土,eog
苔,8292.0,廿戈口,tir
眶,8292.0,月山尸一土,busmg
塘,8292.0,土戈中口,gilr
詠,8292.0,卜口戈弓水,yrine
屯,8291.0,心山,pu
哄,8291.0,口廿金,rtc
妖,8291.0,女竹大,vhk
歹,8291.0,一弓戈,mni
沐,8291.0,水木,ed
沃,8291.0,水竹大,ehk
肘,8291.0,月木戈,bdi
伶,8291.0,人人戈戈,ooii
蘊,8290.0,廿女火廿,tvft
蟋,8290.0,中戈竹木心,lihdp
囂,8290.0,口口一金口,rrmcr
嬸,8290.0,女十竹田,vjhw
藻,8290.0,廿水口木,terd
蜒,8290.0,,
鍛,8290.0,金竹十水,chje
曠,8290.0,日戈廿金,aitc
鋸,8289.0,金尸十口,csjr
鮑,8289.0,弓火心口山,nfpru
斃,8289.0,火大一弓心,fkmnp
嫻,8289.0,女日弓木,vand
摹,8289.0,廿日大手,takq
樞,8289.0,木尸口口,dsrr
瞄,8289.0,月山廿田,butw
幟,8289.0,中月卜戈日,lbyia
惕,8288.0,心日心竹,paph
嗅,8288.0,口竹山大,rhuk
烽,8288.0,火竹水十,fhej
舜,8288.0,月月弓手,bbnq
墅,8288.0,田弓土,wng
勻,8288.0,心一一,pmm
焰,8288.0,火弓竹難,fnhx
軒,8288.0,十十一十,jjmj
瑕,8288.0,一土口尸水,mgrse
裳,8287.0,火月口卜女,fbryv
,8287.0,,
鵬,8287.0,月月竹火,bbhf
駭,8287.0,尸火卜女人,sfyvo
蔚,8287.0,廿尸火戈,tsfi
醋,8287.0,一田廿日,mwta
摧,8287.0,手山人土,quog
諱,8287.0,卜口木一手,yrdmq
揉,8286.0,手弓竹木,qnhd
裔,8286.0,卜女月金口,yvbcr
聆,8286.0,尸十人戈戈,sjoii
萌,8286.0,廿日月,tab
畸,8286.0,田大一口,wkmr
悵,8286.0,心尸一女,psmv
趾,8286.0,口一卜中一,rmylm
咀,8285.0,口月一,rbm
胳,8285.0,月竹水口,bher
耽,8285.0,尸十中月山,sjlbu
巫,8285.0,一人人,moo
杆,8285.0,,
汐,8285.0,水弓戈,eni
兜,8285.0,竹女竹山,hvhu
姍,8285.0,女月廿,vbt
毋,8284.0,田十竹,wjh
朧,8284.0,月卜月心,bybp
鴿,8284.0,人口竹日火,orhaf
飆,8284.0,,
饒,8284.0,人戈土土山,oiggu
繃,8284.0,女火山月月,vfubb
纍,8284.0,,
襪,8284.0,中廿田戈,ltwi
孵,8283.0,竹竹尸中木,hhsld
矯,8283.0,人大竹大月,okhkb
蹄,8283.0,口一卜月月,rmybb
蛀,8283.0,中戈卜土,liyg
傅,8283.0,人戈月戈,oibi
嗽,8283.0,口木中人,rdlo
蜘,8283.0,中戈人大口,liokr
梗,8283.0,木一中大,dmlk
侃,8282.0,人口竹山,orhu
侏,8282.0,人竹十木,ohjd
袁,8282.0,土口竹女,grhv
怡,8282.0,心戈口,pir
秉,8282.0,竹木中,hdl
祀,8282.0,戈火口山,ifru
哎,8282.0,口廿大,rtk
瀆,8281.0,水土田金,egwc
巍,8281.0,山竹女戈,uhvi
艦,8281.0,竹卜尸戈廿,hysit
籤,8281.0,竹人戈一,hoim
竅,8281.0,十金竹尸大,jchsk
聾,8281.0,卜心尸十,ypsj
癒,8281.0,大人一心,komp
檯,8281.0,,
蟑,8280.0,中戈卜廿十,liytj
墮,8280.0,弓月土,nbg
螂,8280.0,中戈戈戈中,liiil
糙,8280.0,火木卜竹口,fdyhr
嘿,8280.0,口田土火,rwgf
敷,8280.0,戈尸人大,isok
撈,8280.0,手火火尸,qffs
蜿,8279.0,中戈十弓山,lijnu
廓,8279.0,戈卜木中,iydl
蛛,8279.0,中戈竹十木,lihjd
綴,8279.0,女火水水水,vfeee
瘍,8279.0,大日一竹,kamh
滄,8279.0,水人戈口,eoir
嘮,8279.0,口火火尸,rffs
哺,8278.0,口戈十月,rijb
倖,8278.0,人土廿十,ogtj
哨,8278.0,口火月,rfb
眨,8278.0,月山竹戈人,buhio
虔,8278.0,卜心卜大,ypyk
凰,8278.0,竹弓竹日土,hnhag
紳,8278.0,女火中田中,vflwl
苛,8278.0,廿一弓口,tmnr
砌,8277.0,一口心尸竹,mrpsh
炭,8277.0,山大火,ukf
沮,8277.0,水月一,ebm
昧,8277.0,日十木,ajd
姜,8277.0,廿土女,tgv
纜,8277.0,女火尸田山,vfswu
枸,8277.0,木心口,dpr
瀾,8276.0,水日弓田,eanw
囑,8276.0,口尸水戈,rsei
幢,8276.0,中月卜廿土,lbytg
齋,8276.0,卜難火,yxf
鹹,8276.0,卜田戈竹口,ywihr
頹,8276.0,竹山一月金,humbc
嚨,8276.0,口卜月心,rybp
葵,8275.0,廿弓人大,tnok
廖,8275.0,戈尸一竹,ismh
漩,8275.0,水卜尸人,eyso
稜,8275.0,竹木土金水,hdgce
屢,8275.0,尸中中女,sllv
寥,8275.0,十尸一竹,jsmh
駁,8275.0,尸火大大,sfkk
蛻,8275.0,中戈金口山,licru
倩,8274.0,人手一月,oqmb
徘,8274.0,竹人中一卜,holmy
禽,8274.0,人卜山月,oyub
奢,8274.0,大十大日,kjka
韌,8274.0,木手尸竹戈,dqshi
絮,8274.0,女口女戈火,vrvif
棍,8274.0,木日心心,dapp
拂,8273.0,手中中弓,qlln
炙,8273.0,月火,bf
吏,8273.0,十中大,jlk
汲,8273.0,水弓竹水,enhe
杰,8273.0,木火,df
丑,8273.0,弓土,ng
柵,8273.0,木月廿,dbt
嘯,8272.0,口中難,rlx
